Date,EG,RGA,RNR,SPNT,KIE
2026-08-14 13:30:00,370.1099853515625,249.4499969482422,323.3599853515625,23.719999313354492,64.25
2026-08-17 13:30:00,365.1499938964844,246.97999572753906,318.5,23.450000762939453,63.220001220703125
2026-08-18 13:30:00,367.3800048828125,244.4199981689453,320.7200012207031,23.549999237060547,63.41999816894531
2026-08-19 13:30:00,363.92999267578125,240.6999969482422,317.239990234375,23.3799991607666,63.20000076293945
2026-08-20 13:30:00,368.3599853515625,242.5500030517578,322.1499938964844,23.600000381469727,63.20000076293945
2026-08-21 13:30:00,370.05999755859375,243.1300048828125,323.45001220703125,23.6299991607666,63.40999984741211
2026-08-24 13:30:00,376.7900085449219,245.57000732421875,329.4200134277344,24.020000457763672,64.2699966430664
2026-08-25 13:30:00,375.3900146484375,244.4600067138672,329.20001220703125,23.959999084472656,63.849998474121094
2026-08-26 13:30:00,379.7799987792969,246.5500030517578,331.7300109863281,23.979999542236328,64.12000274658203
2026-08-27 13:30:00,377.6600036621094,246.02000427246094,330.4100036621094,24.06999969482422,63.650001525878906
2026-08-28 13:30:00,377.6099853515625,245.5399932861328,330.739990234375,24.18000030517578,63.90999984741211
2026-08-31 13:30:00,374.6499938964844,246.0399932861328,327.6400146484375,24.190000534057617,63.150001525878906
2026-09-01 13:30:00,378.6099853515625,247.72000122070312,329.7900085449219,24.40999984741211,63.06999969482422
2026-09-02 13:30:00,378.2799987792969,252.3699951171875,331.2099914550781,24.31999969482422,63.619998931884766
2026-09-03 13:30:00,386.25,255.91000366210938,337.9700012207031,24.84000015258789,64.80000305175781
2026-09-04 13:30:00,380.8699951171875,253.27000427246094,330.3800048828125,24.479999542236328,63.900001525878906
2026-09-08 13:30:00,369.8299865722656,247.13999938964844,323.1000061035156,24.149999618530273,62.52000045776367
